X,nonOH_div,ST,School,Best.Name,Helm
2018_10738,NA,KY,Scott County,Scott County,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_ScottCounty-2016.png"
2018_25237,NA,ON,Football North (via St Joseph),St Joseph,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_StJosephs-2016.png"
2018_9914,NA,OH,North Adams (club) Green Devils,North Adams Green Devils,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/NorthAdams-2017_L.png"
2018_10098,NA,WV,Ripley,Ripley,
2010_9002,NA,OH,Riverview East Academy Hawks,Riverview East Academy,
2013_11775,NA,MI,Battle Creek Apocalypse (Club),Battle Creek Apocalypse,
2016_11421,NA,MI,Lawrence,Lawrence,
2018_10724,NA,KY,Raceland,Raceland,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Raceland-2016-1.png"
2018_9918,NA,OH,COF Academy,COF Academy,
2018_10562,NA,KY,Covington Catholic,Covington Catholic,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_CovingtonCatholic-2016.png"
2018_12645,NA,PA,University Prep (co-op),University Prep,
2018_9900,NA,OH,Western Reserve Academy Pioneers,Western Reserve Academy,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/WRA-2017_L.png"
2018_10588,NA,KY,Fairview (Ashland),Ashland Fairview,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Fairview-2016.png"
2018_11791,NA,MI,Detroit Leadership Acad.,Detroit Leadership Acad.,
2018_10123,NA,WV,Valley (Wetzel),Wetzel Valley,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Valley-2017_L-1.png"
2018_10130,NA,WV,Wheeling Park,Wheeling Park,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/WheelingPark-2015__L.png"
2018_12559,NA,PA,Wilmington Greyhounds,Wilmington,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_WilmingtonArea-2017_L.png"
2018_10079,NA,WV,Oak Glen,Oak Glen,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/OakGlen-2017_L.png"
2018_10125,NA,WV,Wahama,Wahama,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Wahama-2017_L.png"
2018_10060,NA,WV,Magnolia,Magnolia,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Magnolia-2017_L.png"
2018_25227,NA,ON,Royal Imperial Collegiate Knights,Royal Imperial Collegiate,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_RoyalImperialCollegiate-2016.png"
2018_25228,NA,ON,Football North (via Clarkson SS),Clarkson Seconday,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_FootballNorth-2016_L.png"
2018_10083,NA,WV,Parkersburg Big Reds,Parkersburg,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Parkersburg-2016.png"
2010_10585,NA,KY,Evangel Christian,Evangel Christian,
2012_9990,NA,me,JV Opponent,JV Opponent,
2013_11210,NA,MI,Detroit Westside Christian,Detroit Westside Christian,
2015_9990,NA,me,JV Opponent,JV Opponent,
2016_11255,NA,MI,Michigan School for the Deaf,Michigan School for the Deaf,
2016_9990,NA,me,JV Opponent,JV Opponent,
2018_9915,NA,OH,Middletown Christian (club) Eagles,Middletown Christian Eagles,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/MiddletownChristian-2017_L.png"
2018_10060,NA,WV,Magnolia,Magnolia,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Magnolia-2017_L.png"
2018_10544,NA,KY,Campbell County,Campbell County,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_CampbellCounty-2016.png"
2018_25228,NA,ON,Football North (via Clarkson SS),Clarkson Seconday,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_FootballNorth-2016_L.png"
2018_14523,NA,MD,Mergenthaler,Mergenthaler,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_MergenthalerVT-2016.png"
2018_10128,NA,WV,Weir,Weir,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Weir-2015_L.png"
2018_9900,NA,OH,Western Reserve Academy Pioneers,Western Reserve Academy,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/WRA-2017_L.png"
2018_13164,NA,IN,Indianapolis Bishop Chatard,Indianapolis Bishop Chatard,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_BishopChatard-2016.png"
2018_10052,NA,WV,John Marshall,John Marshall,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x137/ohiohshelmets.webs.com/JohnMarshall-2014_L-1.png"
2018_25238,NA,ON,West Toronto Prep (via Silverthorn CI),West Toronto Prep,
2018_12552,NA,PA,Seneca Bobcats,Seneca,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Seneca-2016_L.png"
2018_9911,NA,OH,Reigning Sports Academy (club) Thunder,Reigning Sports Academy Thunder,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/ReigningThunder-2016_L.png"
2018_10125,NA,WV,Wahama,Wahama,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Wahama-2017_L.png"
2018_10079,NA,WV,Oak Glen,Oak Glen,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/OakGlen-2017_L.png"
2018_10007,NA,WV,Brooke,Brooke,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Brooke-2015_L.png"
2018_13385,NA,IN,Woodlan,Woodlan,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Woodlan-2016.png"
2010_9990,NA,me,JV Opponent,JV Opponent,
2011_9002,NA,OH,Riverview East Academy Hawks,Riverview East Academy,
2011_10557,NA,KY,Clinton County,Clinton County,
2012_10557,NA,KY,Clinton County,Clinton County,
2013_11767,NA,MI,Troy Defenders (Club),Troy Defenders,
2016_11148,NA,MI,Covert,Covert,
2016_9990,NA,me,JV Opponent,JV Opponent,
2016_9912,NA,OH,Southern Buckeye,Southern Buckeye,
2018_10605,NA,KY,Grant County,Grant County,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_GrantCounty-2016_L.png"
2018_9007,NA,OH,Horizon Science Academy Jaguars,Horizon Science Academy,"https://mediaprocessor.websimages.com/width/181/crop/0,0,181x139/ohiohshelmets.webs.com/HorizonScience-2016_L.png"
2018_13167,NA,IN,Indianapolis Cathedral,Indianapolis Cathedral,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Cathedral-2016.png"
2018_13338,NA,IN,North Vigo,North Vigo,
2018_25238,NA,ON,West Toronto Prep (via Silverthorn CI),West Toronto Prep,
2018_10096,NA,WV,Ravenswood,Ravenswood,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Ravenswood-2016.png"
2018_10737,NA,KY,Scott (Covington),Covington Scott,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Scott-2016.png"
2018_10079,NA,WV,Oak Glen,Oak Glen,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/OakGlen-2017_L.png"
2018_21282,NA,IL,East St Louis Senior Flyers,East St Louis Senior,
2018_10125,NA,WV,Wahama,Wahama,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Wahama-2017_L.png"
2018_10129,NA,WV,Wheeling Central Catholic,Wheeling Central Catholic,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/WheelingCentral-2015_L.png"
2018_13174,NA,IN,Jay County,Jay County,
2018_12570,NA,PA,Sharpsville Blue Devils,Sharpsville,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Sharpsville-2017.png"
2018_10013,NA,WV,Cameron,Cameron,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Cameron-2014-L.png"
2018_10060,NA,WV,Magnolia,Magnolia,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Magnolia-2017_L.png"
2018_12494,NA,PA,Perry Traditional Academy,Perry Traditional Academy,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_PerryTradional-2016.png"
2006_13490,NA,IN,Indiana Lions (club),Indiana Lions,
2015_10032,NA,WV,Gilmer County Titans,Gilmer County,
2018_10093,NA,WV,Point Pleasant Big Blacks,Point Pleasant,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_PointPleasant-2016.png"
2018_9900,NA,OH,Western Reserve Academy Pioneers,Western Reserve Academy,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/WRA-2017_L.png"
2018_9911,NA,OH,Reigning Sports Academy (club) Thunder,Reigning Sports Academy Thunder,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/ReigningThunder-2016_L.png"
2018_25237,NA,ON,Football North (via St Joseph),St Joseph,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_StJosephs-2016.png"
2018_25228,NA,ON,Football North (via Clarkson SS),Clarkson Seconday,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_FootballNorth-2016_L.png"
2018_10125,NA,WV,Wahama,Wahama,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Wahama-2017_L.png"
2018_12530,NA,PA,McDowell,McDowell,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_McDowell-2016.png"
2018_12650,NA,PA,Erie Royals,Erie Royals,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Erie(PA)-2017.png"
2018_10132,NA,WV,Williamstown,Williamstown,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Williamstown(WV)_2016.png"
2018_12043,NA,PA,Sun Valley,Sun Valley,
2018_9910,NA,OH,Dohn Community Panthers,Dohn Community,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Dohn-2014_L.png"
2018_12492,NA,PA,Carrick,Carrick,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Carrick-2017_L.png"
2018_10079,NA,WV,Oak Glen,Oak Glen,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/OakGlen-2017_L.png"
2018_25117,NA,ON,Huron Heights,Huron Heights,
2018_12549,NA,PA,Northwestern,Northwestern,
2018_9918,NA,OH,COF Academy,COF Academy,
2018_10128,NA,WV,Weir,Weir,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Weir-2015_L.png"
2018_10123,NA,WV,Valley (Wetzel),Wetzel Valley,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Valley-2017_L-1.png"
2018_13117,NA,IN,Franklin County Wildcats,Franklin County,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_FranklinCounty-2016.png"
2018_28656,NA,FL,International School of Broward Pumas,International School of Broward,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_InternationalSchool_2017.png"
2018_10129,NA,WV,Wheeling Central Catholic,Wheeling Central Catholic,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/WheelingCentral-2015_L.png"
2009_13490,NA,IN,Indiana Lions (club),Indiana Lions,
2012_9990,NA,me,JV Opponent,JV Opponent,
2013_11768,NA,MI,Grand Rapids / WMCAA,Grand Rapids / WMCAA,
2014_13490,NA,IN,Indiana Lions (club),Indiana Lions,
2015_13490,NA,IN,Indiana Lions (club),Indiana Lions,
2016_11398,NA,MI,Kinde-North Huron,Kinde-North Huron,
2018_10200,NA,WV,Linsly Cadets,Linsly Cadets,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Linsly-2015_L.png"
2018_10129,NA,WV,Wheeling Central Catholic,Wheeling Central Catholic,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/WheelingCentral-2015_L.png"
2018_9990,NA,me,JV Opponent,JV Opponent,
2018_9916,NA,OH,KIPP Columbus,KIPP Columbus,
2018_14803,NA,MD,McDonogh School,McDonogh School,
2018_15000,NA,NY,Cardinal O'Hara Hawks,Cardinal O'Hara,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_CardinalOHara-2016.png"
2018_9901,NA,OH,Columbus Crusaders,Columbus Crusaders,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/ColumbusCrusaders-2017_L.png"
2018_10013,NA,WV,Cameron,Cameron,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Cameron-2014-L.png"
2018_10059,NA,WV,Madonna,Madonna,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/WeirtonMadonna-2017_L.png"
2018_25227,NA,ON,Royal Imperial Collegiate Knights,Royal Imperial Collegiate,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_RoyalImperialCollegiate-2016.png"
2018_12860,NA,PA,Conneaut Area Eagles,Conneaut Area,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_ConneautArea-2017.png"
2018_10018,NA,WV,Clay-Battelle,Clay-Battelle,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/ClayBettele-2015__L.png"
2018_10128,NA,WV,Weir,Weir,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Weir-2015_L.png"
2018_24401,NA,MO,Vianney,Vianney,
2018_9910,NA,OH,Dohn Community Panthers,Dohn Community,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Dohn-2014_L.png"
2018_9915,NA,OH,Middletown Christian (club) Eagles,Middletown Christian Eagles,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/MiddletownChristian-2017_L.png"
2018_24674,NA,MO,Trinity Catholic,Trinity Catholic,
2010_13490,NA,IN,Indiana Lions (club),Indiana Lions,
2011_13490,NA,IN,Indiana Lions (club),Indiana Lions,
2013_13490,NA,IN,Indiana Lions (club),Indiana Lions,
2015_10601,NA,KY,Gallatin County,Gallatin County,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_GallatinCounty-2016_L.png"
2018_10756,NA,KY,St Xavier (Louisville),Louisville St Xavier,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_StX-2016.png"
2018_10129,NA,WV,Wheeling Central Catholic,Wheeling Central Catholic,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/WheelingCentral-2015_L.png"
2018_10125,NA,WV,Wahama,Wahama,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Wahama-2017_L.png"
2018_10052,NA,WV,John Marshall,John Marshall,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x137/ohiohshelmets.webs.com/JohnMarshall-2014_L-1.png"
2018_10082,NA,WV,Paden City,Paden City,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x137/ohiohshelmets.webs.com/PadenCity-2014_L.png"
2018_10079,NA,WV,Oak Glen,Oak Glen,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/OakGlen-2017_L.png"
2018_10013,NA,WV,Cameron,Cameron,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Cameron-2014-L.png"
2018_10059,NA,WV,Madonna,Madonna,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/WeirtonMadonna-2017_L.png"
2018_10200,NA,WV,Linsly Cadets,Linsly Cadets,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Linsly-2015_L.png"
2018_25238,NA,ON,West Toronto Prep (via Silverthorn CI),West Toronto Prep,
2018_9900,NA,OH,Western Reserve Academy Pioneers,Western Reserve Academy,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/WRA-2017_L.png"
2018_9910,NA,OH,Dohn Community Panthers,Dohn Community,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Dohn-2014_L.png"
